Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Aston Villa,Leandro Bacuna,Def,4,SUN,A,D,2-2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0
Aston Villa,Joleon Lescott,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Joleon Lescott,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Joleon Lescott,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Joleon Lescott,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Alan Hutton,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Alan Hutton,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Alan Hutton,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Alan Hutton,Def,4,SUN,A,D,2-2,9,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,2,0,0
Aston Villa,Aly Cissokho,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Aly Cissokho,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Aly Cissokho,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Aly Cissokho,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Tiago Ilori,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Tiago Ilori,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Tiago Ilori,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Tiago Ilori,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Philippe Senderos,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Philippe Senderos,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Philippe Senderos,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Philippe Senderos,Def,4,SUN,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Kieran Richardson,Def,1,BOU,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Kieran Richardson,Def,2,MUN,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Kieran Richardson,Def,3,CRY,H,L,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
